Timestamp, Serial Number, Channel, Data, Unit of Measure
08 17:46,210993897, 1,34.27, °C
08 17:46,210993897, 2,34.43, °C
08 17:51,210993897, 1,34.85, °C
08 17:51,210993897, 2,35.01, °C
08 17:56,210993897, 1,35.41, °C
08 17:56,210993897, 2,35.57, °C
08 18:01,210993897, 1,35.97, °C
08 18:01,210993897, 2,36.14, °C
08 18:07,210993897, 1,36.53, °C
08 18:07,210993897, 2,36.69, °C
08 18:12,210993897, 1,37.06, °C
08 18:12,210993897, 2,37.22, °C
08 18:17,210993897, 1,37.58, °C
08 18:17,210993897, 2,37.74, °C
08 18:22,210993897, 1,38.08, °C
08 18:22,210993897, 2,38.24, °C
08 18:27,210993897, 1,38.58, °C
08 18:27,210993897, 2,38.74, °C
08 18:32,210993897, 1,39.05, °C
08 18:32,210993897, 2,39.21, °C
08 18:37,210993897, 1,39.52, °C
08 18:37,210993897, 2,39.69, °C
08 18:42,210993897, 1,39.97, °C
08 18:42,210993897, 2,40.13, °C
08 18:47,210993897, 1,40.39, °C
08 18:47,210993897, 2,40.56, °C
08 18:52,210993897, 1,40.81, °C
08 18:52,210993897, 2,40.98, °C
08 18:57,210993897, 1,41.24, °C
08 18:57,210993897, 2,41.39, °C
08 19:02,210993897, 1,41.62, °C
08 19:02,210993897, 2,41.78, °C
08 19:07,210993897, 1,41.98, °C
08 19:07,210993897, 2,42.14, °C
08 19:12,210993897, 1,42.34, °C
08 19:12,210993897, 2,42.5, °C
08 19:17,210993897, 1,42.67, °C
08 19:17,210993897, 2,42.83, °C
08 19:22,210993897, 1,43.00, °C
08 19:22,210993897, 2,43.16, °C
08 19:27,210993897, 1,43.32, °C
08 19:27,210993897, 2,43.47, °C
08 19:32,210993897, 1,43.62, °C
08 19:32,210993897, 2,43.78, °C
08 19:37,210993897, 1,43.91, °C
08 19:37,210993897, 2,44.06, °C
08 19:42,210993897, 1,44.20, °C
08 19:42,210993897, 2,44.35, °C
08 19:47,210993897, 1,44.49, °C
08 19:47,210993897, 2,44.64, °C
08 19:52,210993897, 1,44.76, °C
08 19:52,210993897, 2,44.91, °C
08 19:58,210993897, 1,45.02, °C
08 19:58,210993897, 2,45.17, °C
08 20:03,210993897, 1,45.28, °C
08 20:03,210993897, 2,45.44, °C
08 20:08,210993897, 1,45.52, °C
08 20:08,210993897, 2,45.67, °C
08 20:13,210993897, 1,45.74, °C
08 20:13,210993897, 2,45.89, °C
08 20:18,210993897, 1,45.95, °C
08 20:18,210993897, 2,46.11, °C
08 20:23,210993897, 1,46.15, °C
08 20:23,210993897, 2,46.30, °C
08 20:28,210993897, 1,46.36, °C
08 20:28,210993897, 2,46.51, °C
08 20:33,210993897, 1,46.55, °C
08 20:33,210993897, 2,46.71, °C
08 20:38,210993897, 1,46.74, °C
08 20:38,210993897, 2,46.89, °C
08 20:43,210993897, 1,46.93, °C
08 20:43,210993897, 2,47.08, °C
08 20:48,210993897, 1,47.09, °C
08 20:48,210993897, 2,47.24, °C
08 20:53,210993897, 1,47.25, °C
08 20:53,210993897, 2,47.40, °C
08 20:58,210993897, 1,47.40, °C
08 20:58,210993897, 2,47.55, °C
08 21:03,210993897, 1,47.54, °C
08 21:03,210993897, 2,47.69, °C
08 21:08,210993897, 1,47.69, °C
08 21:08,210993897, 2,47.84, °C
08 21:13,210993897, 1,47.84, °C
08 21:13,210993897, 2,47.99, °C
08 21:18,210993897, 1,47.99, °C
08 21:18,210993897, 2,48.14, °C
08 21:23,210993897, 1,48.14, °C
08 21:23,210993897, 2,48.29, °C
08 21:28,210993897, 1,48.26, °C
08 21:28,210993897, 2,48.41, °C
08 21:33,210993897, 1,48.37, °C
08 21:33,210993897, 2,48.52, °C
08 21:38,210993897, 1,48.48, °C
08 21:38,210993897, 2,48.63, °C
08 21:43,210993897, 1,48.58, °C
08 21:43,210993897, 2,48.74, °C
08 21:48,210993897, 1,48.69, °C
08 21:48,210993897, 2,48.84, °C
08 21:53,210993897, 1,48.77, °C
08 21:53,210993897, 2,48.92, °C
08 21:59,210993897, 1,48.86, °C
08 21:59,210993897, 2,49.01, °C
08 22:04,210993897, 1,48.94, °C
08 22:04,210993897, 2,49.09, °C
08 22:09,210993897, 1,49.03, °C
08 22:09,210993897, 2,49.18, °C
08 22:14,210993897, 1,49.10, °C
08 22:14,210993897, 2,49.26, °C
08 22:19,210993897, 1,49.17, °C
08 22:19,210993897, 2,49.32, °C
08 22:24,210993897, 1,49.25, °C
08 22:24,210993897, 2,49.4, °C
08 22:29,210993897, 1,49.31, °C
08 22:29,210993897, 2,49.46, °C
08 22:34,210993897, 1,49.38, °C
08 22:34,210993897, 2,49.52, °C
08 22:39,210993897, 1,49.44, °C
08 22:39,210993897, 2,49.59, °C
08 22:44,210993897, 1,49.49, °C
08 22:44,210993897, 2,49.64, °C
08 22:49,210993897, 1,49.54, °C
08 22:49,210993897, 2,49.69, °C
08 22:54,210993897, 1,49.6, °C
08 22:54,210993897, 2,49.75, °C
08 22:59,210993897, 1,49.68, °C
08 22:59,210993897, 2,49.83, °C
08 23:04,210993897, 1,49.76, °C
08 23:04,210993897, 2,49.91, °C
08 23:09,210993897, 1,49.84, °C
08 23:09,210993897, 2,49.99, °C
08 23:14,210993897, 1,49.9, °C
08 23:14,210993897, 2,50.05, °C
08 23:19,210993897, 1,49.95, °C
08 23:19,210993897, 2,50.1, °C
08 23:24,210993897, 1,50.01, °C
08 23:24,210993897, 2,50.16, °C
08 23:29,210993897, 1,50.08, °C
08 23:29,210993897, 2,50.23, °C
08 23:34,210993897, 1,50.14, °C
08 23:34,210993897, 2,50.29, °C
08 23:39,210993897, 1,50.19, °C
08 23:39,210993897, 2,50.34, °C
08 23:45,210993897, 1,50.22, °C
08 23:45,210993897, 2,50.37, °C
08 23:50,210993897, 1,50.26, °C
08 23:50,210993897, 2,50.41, °C
08 23:55,210993897, 1,50.31, °C
08 23:55,210993897, 2,50.46, °C
09 00:00,210993897, 1,50.37, °C
09 00:00,210993897, 2,50.52, °C
09 00:05,210993897, 1,50.42, °C
09 00:05,210993897, 2,50.57, °C
09 00:10,210993897, 1,50.46, °C
09 00:10,210993897, 2,50.61, °C
09 00:15,210993897, 1,50.5, °C
09 00:15,210993897, 2,50.66, °C
09 00:20,210993897, 1,50.54, °C
09 00:20,210993897, 2,50.7, °C
09 00:25,210993897, 1,50.58, °C
09 00:25,210993897, 2,50.73, °C
09 00:30,210993897, 1,50.6, °C
09 00:30,210993897, 2,50.75, °C
09 00:35,210993897, 1,50.61, °C
09 00:35,210993897, 2,50.76, °C
09 00:40,210993897, 1,50.62, °C
09 00:40,210993897, 2,50.77, °C
09 00:45,210993897, 1,50.64, °C
09 00:45,210993897, 2,50.79, °C
09 00:50,210993897, 1,50.66, °C
09 00:50,210993897, 2,50.8, °C
09 00:55,210993897, 1,50.67, °C
09 00:55,210993897, 2,50.81, °C
09 01:00,210993897, 1,50.68, °C
09 01:00,210993897, 2,50.83, °C